File name;1,docx;2,pptx;3,pdf;4,txt;5,exe;6,jpg;7,bmp;8,jpg;9,bmp
Symbol;;;;;;;;;
0;0,00466372;0,00765461;0,00985807;0;0,0139056;0,00813308;0,0184495;0,0122325;0,0110215
1;0,00395884;0,00403853;0,00307498;0;0,00444507;0,00199902;0,00696667;0,00480702;0,0108933
2;0,00408548;0,00381553;0,00276222;0;0,00382093;0,00180857;0,00536377;0,00251824;0,0157005
3;0,00357175;0,00366173;0,00349572;0;0,00389277;0,00261381;0,00422795;0,00481907;0,0152999
4;0,00409169;0,0041707;0,00270868;0;0,00443318;0,00197086;0,00339844;0,00201498;0,0185418
5;0,00379827;0,00303454;0,00298352;0;0,00370914;0,00237085;0,00309165;0,00285808;0,0214786
6;0,0039034;0,00406112;0,00308212;0;0,00376004;0,00237085;0,00276251;0,00323746;0,023754
7;0,00367354;0,0036204;0,00361842;0;0,00365729;0,00319614;0,00270115;0,0049015;0,023205
8;0,00503361;0,00430527;0,00278275;0;0,00436467;0,00205916;0,00255893;0,00173972;0,0198949
9;0,0040525;0,00367567;0,00279033;0;0,00363017;0,0022835;0,00248283;0,00192387;0,0167102
10;0,00403148;0,00348439;0,00394189;0,00256843;0,00369011;0,00279663;0,00234965;0,00306778;0,0136956
11;0,00386087;0,00303743;0,00298932;0;0,00362732;0,00306106;0,00222884;0,00294582;0,0104374
12;0,00424509;0,00394529;0,0032008;0;0,00402026;0,00274746;0,00212753;0,00301716;0,0088955
13;0,00387664;0,00333108;0,00520053;0,00256843;0,00359259;0,00342144;0,00198484;0,00360141;0,00863468
14;0,00394307;0,0038881;0,00337927;0;0,00365253;0,0028687;0,00184072;0,00340521;0,00888542
15;0,0040071;0,00362473;0,00359611;0;0,00402549;0,00421141;0,00168328;0,00447392;0,00951659
16;0,00437603;0,00446387;0,00274259;0;0,00399029;0,001968;0,00147828;0,0015874;0,0104129
17;0,00582499;0,00459123;0,00320839;0;0,00358546;0,00279185;0,00138791;0,00230999;0,0103365
18;0,00444485;0,00392943;0,00299824;0;0,00349269;0,00261811;0,00131562;0,00209596;0,0101819
19;0,00395501;0,00364107;0,00301788;0;0,00362113;0,00266107;0,00124427;0,00220201;0,00947336
20;0,00424605;0,00361079;0,00326416;0;0,00379382;0,00254412;0,00120004;0,0029839;0,00777438
21;0,0040678;0,00352861;0,00369293;0;0,00369344;0,00417083;0,00113012;0,00444693;0,00589239
22;0,00395645;0,0036526;0,00315173;0;0,00347414;0,00320474;0,00116959;0,00286965;0,00387206
23;0,00394211;0,00361848;0,00315708;0;0,00360401;0,00337275;0,00109016;0,00293666;0,0025319
24;0,00459539;0,00423654;0,00328067;0;0,003751;0,0031508;0,00102833;0,00345872;0,00180466
25;0,00409073;0,00361223;0,00338418;0;0,00358783;0,00352931;0,00106162;0,00378073;0,00154479
26;0,00417245;0,00365645;0,00319679;0;0,00350649;0,00373647;0,000955557;0,00317624;0,00137907
27;0,00392777;0,00338779;0,00324051;0;0,00360972;0,00415222;0,000953655;0,00422036;0,0013344
28;0,00453326;0,00382514;0,00361083;0;0,00363778;0,00361619;0,000921787;0,00401404;0,0012292
29;0,00402001;0,00341566;0,00354524;0;0,00362304;0,0039064;0,00090942;0,00439535;0,00125514
30;0,00399563;0,00364684;0,00341719;0;0,00346748;0,00407823;0,000906091;0,00434087;0,0012782
31;0,00402956;0,0038881;0,00441215;0;0,00354359;0,00544099;0,000824281;0,00501912;0,00119558
32;0,00390101;0,00994517;0,0136527;0,146958;0,00385756;0,00198757;0,000881833;0,00185975;0,00113986
33;0,00463409;0,00384725;0,00288046;0;0,00354169;0,00225821;0,000950801;0,00189205;0,00110816
34;0,00581114;0,00467437;0,00331815;0;0,00356643;0,0025761;0,00108541;0,00224781;0,00108366
35;0,00540541;0,00365356;0,00358406;0;0,00355358;0,00395747;0,00120717;0,00362358;0,000974139
36;0,00451414;0,00429565;0,0033177;0;0,00428333;0,00364101;0,00137031;0,00298968;0,000974139
37;0,00371702;0,00354831;0,00306383;0;0,0035512;0,00276799;0,00157246;0,00208294;0,00098855
38;0,00368596;0,00411831;0,0031843;0;0,00350839;0,00310211;0,00179649;0,00272938;0,000847328
39;0,00361619;0,00379246;0,00342746;0;0,00353313;0,00335557;0,00188353;0,00311405;0,000889118
40;0,00405872;0,00338202;0,00330387;0;0,00366775;0,00232408;0,00195678;0,0029516;0,000800254
41;0,00371511;0,00368048;0,00326014;0;0,00346891;0,00274555;0,00189352;0,00233699;0,000964052
42;0,00393064;0,00357667;0,00342656;0;0,00355596;0,00362335;0,00191587;0,00363563;0,000830036
43;0,00370603;0,00316623;0,00356041;0;0,00371818;0,00471593;0,00188591;0,00517964;0,000864621
44;0,00378584;0,00390252;0,00352784;2,59E-05;0,003565;0,00311643;0,00187972;0,00289086;0,000916498
45;0,00363865;0,00339548;0,00328379;0;0,00357023;0,00416845;0,00185071;0,00334399;0,000894882
46;0,00369504;0,00371748;0,00490873;0,0196913;0,00363731;0,00359948;0,00179506;0,0032095;0,000927065
47;0,00371511;0,00381313;0,0081778;0;0,0035826;0,00389924;0,00175843;0,003666;0,000925144
48;0,00424366;0,00434179;0,0127483;0;0,00377907;0,00233124;0,00172609;0,00247341;0,00101305
49;0,00423219;0,00454797;0,00659524;0;0,00358593;0,00328874;0,00177794;0,00359225;0,00101881
50;0,00381356;0,00364443;0,00576403;0;0,00359592;0,00333409;0,00198008;0,00332423;0,000965493
51;0,00377437;0,00441196;0,00574217;0;0,00412254;0,0035212;0,0022707;0,0037171;0,00100728
52;0,00426851;0,00392703;0,00602013;0;0,00361067;0,00392597;0,00265073;0,0033358;0,00106637
53;0,00354498;0,00400585;0,00581891;0;0,00360639;0,00499421;0,00298463;0,00430086;0,00107645
54;0,00359803;0,00378525;0,00623296;0;0,00351362;0,00403146;0,00323957;0,00435485;0,00100488
55;0,00366398;0,00406496;0,00613168;0;0,00357689;0,0041169;0,00331235;0,00412058;0,00108222
56;0,00438129;0,00380111;0,00548072;0;0,00369154;0,00315843;0,00329712;0,0035773;0,00102313
57;0,00423936;0,00411687;0,00711994;0;0,00364444;0,00346869;0,00327192;0,00390703;0,00108654
58;0,0038709;0,0035238;0,00362466;0;0,00356024;0,00360043;0,00317013;0,0034727;0,0010923
59;0,00380209;0,00375353;0,00346538;0;0,00456495;0,00383528;0,0030555;0,00399765;0,00108798
60;0,00382981;0,00374969;0,00525005;0;0,00374292;0,00438706;0,00281578;0,00438715;0,00119029
61;0,00384797;0,00364876;0,00352338;0;0,00383378;0,00408205;0,00254752;0,00462143;0,00118165
62;0,00403912;0,00388185;0,0053781;0;0,00358546;0,00485674;0,00228449;0,00478436;0,00112689
63;0,00389098;0,0040145;0,0047316;0;0,00374434;0,00588824;0,00200101;0,00473808;0,00120038
64;0,0037218;0,00387224;0,00290812;0;0,00449645;0,00187205;0,00191349;0,00453562;0,00121767
65;0,00389241;0,00359397;0,00330253;0,00210144;0,00460824;0,00251023;0,00177746;0,0023177;0,00124649
66;0,00450459;0,00383716;0,00390798;0,000272409;0,00411635;0,00232503;0,00169137;0,00187229;0,00119798
67;0,00432872;0,00336616;0,00370185;0,00084317;0,00359164;0,00304626;0,00165427;0,00250908;0,00132287
