File name; Type;Time 1 (ns);Time 2 (ns);Time 3 (ns);Time 4 (ns);Time 5 (ns);Time 6 (ns);Time 7 (ns);Time 8 (ns);Time 9 (ns);Time 10 (ns);Average time;File size (bytes); Packed file size (bytes); coefficient
1.docx;packing;1745985100;1660136500;1715857600;1796879700;1769454500;1699988300;1736591800;1651851200;1747953800;1728076200;1725277470;2092534;2097541;1.00239
1.docx;unpacking;6156028400;6391999100;6138577600;6132872800;6576374300;5994935300;5980601500;6135645600;6098550300;5940607400;1.41665e+08;-;-;-
2.pptx;packing;1717289400;1925514000;1630671800;1657677100;1672164100;1738385200;1683954500;1724267300;1795506300;1761642600;1730707230;2080708;2084193;1.00167
2.pptx;unpacking;6091284200;6041048100;5964340900;5662497900;5713494300;5759252700;5682334300;5824378300;5868911100;5863543200;-1.65846e+08;-;-;-
3.pdf;packing;1790761700;1758351600;1753111500;1819048000;1791781200;1850073600;1767191000;1778632900;1821862800;1909487000;1804030130;2241312;2240723;0.999737
3.pdf;unpacking;7068518300;7182356900;7615025100;8194444000;6722017400;6805711700;6586181700;6774040100;6861989200;7317119900;-1.88704e+08;-;-;-
4.txt;packing;1127156500;1154660600;1493148200;1129017000;1109393900;1150806200;1153950400;1526970600;1195270100;1143075500;1218344900;2081430;1180796;0.5673
4.txt;unpacking;3191695100;2860307900;2881105300;3017631300;2971427700;2947197000;2922360400;3035549100;3118970400;3001098800;-1.17428e+07;-;-;-
5.exe;packing;1890450900;2109436200;1817628300;1930264000;1804944300;1789299000;1799081600;1724360000;1685046700;1859615800;1841012680;2102104;2100790;0.999375
5.exe;unpacking;6208695600;6095665900;6430808200;6014028800;6013687100;6194212200;6085182200;5978102100;5899223900;6155554800;9.45619e+07;-;-;-
6.jpg;packing;1872726300;1743009800;1678875200;1713574700;1701723000;2048543500;1728528100;1716988900;1688656000;1977614000;1787023950;2095025;2096136;1.00053
6.jpg;unpacking;6417782400;6831825700;6469251300;6568227700;6510584300;6745610900;6508492100;6347047200;6705650700;6511310300;1.19127e+08;-;-;-
7.bmp;packing;1776986000;1605775500;1630873100;1807728000;1752219400;1831911700;1585775600;1625962900;1611129800;1662044000;1689040600;2102438;1979180;0.941374
7.bmp;unpacking;5842088200;5743678400;5567489400;5541484100;5516950200;5807603800;5580084300;5571674700;6100117400;5614938400;1.05153e+08;-;-;-
8.jpg;packing;1708903500;1736459100;1741284400;2201618300;1797835100;1742049000;1939476800;2028567500;1882270100;1897305900;1867576970;2074467;2074311;0.999925
8.jpg;unpacking;6123742300;6100232800;6121104400;6345129300;6112516800;6450528600;6282491800;6417915300;6513196300;6788197600;-1.16945e+08;-;-;-
9.bmp;packing;1546785800;1434414500;1482166100;1502082700;1488262400;1460345100;1512859500;1557887900;1555922100;1568609200;1510933530;2081838;1889480;0.907602
9.bmp;unpacking;5383869900;5422422400;5488384100;5329422400;5135987700;5404234500;5287284800;5292480700;5241298700;5463254200;1.90903e+08;-;-;-
